STN	YYYYMMDD	FF
321	19960721	20
321	19960721	10
321	19960721	10
321	19960721	10
321	19960721	20
321	19960721	30
321	19960721	50
321	19960721	50
321	19960721	50
321	19960721	50
321	19960721	60
321	19960721	80
321	19960721	80
321	19960721	80
321	19960721	70
321	19960722	70
321	19960722	70
321	19960722	70
321	19960722	70
321	19960722	70
321	19960722	70
321	19960722	70
321	19960722	70
321	19960722	60
321	19960722	50
321	19960722	50
321	19960722	60
321	19960722	60
321	19960722	40
321	19960722	30
321	19960722	30
321	19960722	30
321	19960722	40
321	19960722	70
321	19960722	80
321	19960722	80
321	19960722	80
321	19960722	90
321	19960722	90
321	19960723	90
321	19960723	80
321	19960723	80
321	19960723	80
321	19960723	80
321	19960723	70
321	19960723	130
321	19960723	70
321	19960723	60
321	19960723	70
321	19960723	30
321	19960723	30
321	19960723	30
321	19960723	30
321	19960723	10
321	19960723	70
321	19960723	30
321	19960723	80
321	19960723	90
321	19960723	80
321	19960723	50
321	19960723	70
321	19960723	90
321	19960723	20
321	19960724	40
321	19960724	60
321	19960724	60
321	19960724	70
321	19960724	100
321	19960724	80
321	19960724	80
321	19960724	80
321	19960724	90
321	19960724	120
321	19960724	130
321	19960724	130
321	19960724	130
321	19960724	130
321	19960724	140
321	19960724	140
321	19960724	150
321	19960724	150
321	19960724	150
321	19960724	150
321	19960724	150
321	19960724	150
321	19960724	150
321	19960724	150
321	19960725	160
321	19960725	150
321	19960725	140
321	19960725	130
321	19960725	120
321	19960725	120
321	19960725	110
321	19960725	100
321	19960725	100
321	19960725	100
321	19960725	100
321	19960725	90
321	19960725	80
321	19960725	70
321	19960725	60
321	19960725	50
321	19960725	40
321	19960725	40
321	19960725	30
321	19960725	30
321	19960725	10
321	19960725	10
321	19960725	20
321	19960725	40
321	19960726	40
321	19960726	40
321	19960726	50
321	19960726	60
321	19960726	60
321	19960726	40
321	19960726	40
321	19960726	30
321	19960726	50
321	19960726	60
321	19960726	60
321	19960726	50
321	19960726	50
321	19960726	50
321	19960726	50
321	19960726	40
321	19960726	40
321	19960726	50
321	19960726	50
321	19960726	40
321	19960726	30
321	19960726	40
321	19960726	50
321	19960726	60
321	19960727	60
321	19960727	60
321	19960727	60
321	19960727	60
321	19960727	50
321	19960727	80
321	19960727	80
321	19960727	70
321	19960727	60
321	19960727	50
321	19960727	50
321	19960727	50
321	19960727	60
321	19960727	60
321	19960727	60
321	19960727	50
321	19960727	30
321	19960727	30
321	19960727	30
321	19960727	30
321	19960727	30
321	19960727	30
321	19960727	20
321	19960727	20
321	19960728	20
321	19960728	20
321	19960728	10
321	19960728	10
321	19960728	20
321	19960728	30
321	19960728	40
321	19960728	50
321	19960728	50
321	19960728	40
321	19960728	40
321	19960728	50
321	19960728	40
321	19960728	40
321	19960728	50
321	19960728	50
321	19960728	50
321	19960728	50
321	19960728	40
321	19960728	30
321	19960728	40
321	19960728	50
321	19960728	60
321	19960728	50
321	19960729	70
321	19960729	80
321	19960729	60
321	19960729	70
321	19960729	60
321	19960729	60
321	19960729	60
321	19960729	50
321	19960729	50
321	19960729	40
321	19960729	50
321	19960729	70
321	19960729	70
321	19960729	50
321	19960729	50
321	19960729	40
321	19960729	30
321	19960729	20
321	19960729	30
321	19960729	40
321	19960729	40
321	19960729	40
321	19960729	30
321	19960729	40
321	19960730	60
321	19960730	60
321	19960730	40
321	19960730	40
321	19960730	20
321	19960730	20
321	19960730	20
321	19960730	20
321	19960730	30
321	19960730	30
321	19960730	30
321	19960730	40
321	19960730	30
321	19960730	30
321	19960730	40
321	19960730	50
321	19960730	30
321	19960730	50
321	19960730	60
321	19960730	60
321	19960730	70
321	19960730	70
321	19960730	70
321	19960730	80
321	19960731	70
321	19960731	60
321	19960731	80
321	19960731	80
321	19960731	70
321	19960731	60
321	19960731	60
321	19960731	70
321	19960731	80
321	19960731	70
321	19960731	70
321	19960731	60
321	19960731	80
321	19960731	80
321	19960731	70
321	19960731	70
321	19960731	90
321	19960731	80
321	19960731	90
321	19960731	90
321	19960731	70
321	19960731	80
321	19960731	70
321	19960731	70
321	19960801	80
321	19960801	40
321	19960801	50
321	19960801	50
321	19960801	60
321	19960801	70
321	19960801	70
321	19960801	70
321	19960801	70
321	19960801	70
321	19960801	70
321	19960801	70
321	19960801	70
321	19960801	80
321	19960801	80
321	19960801	80
321	19960801	70
321	19960801	80
321	19960801	70
321	19960801	70
321	19960801	70
321	19960801	80
321	19960801	90
321	19960801	60
321	19960802	30
321	19960802	30
321	19960802	30
321	19960802	40
321	19960802	50
321	19960802	60
321	19960802	50
321	19960802	40
321	19960802	40
321	19960802	30
321	19960802	40
321	19960802	30
321	19960802	30
321	19960802	30
321	19960802	30
321	19960802	30
321	19960802	20
321	19960802	20
321	19960802	20
321	19960802	20
321	19960802	10
321	19960802	10
321	19960802	10
321	19960802	10
321	19960803	10
321	19960803	20
321	19960803	20
321	19960803	10
321	19960803	10
321	19960803	10
321	19960803	20
321	19960803	20
321	19960803	20
321	19960803	20
321	19960803	10
321	19960803	10
321	19960803	20
321	19960803	40
321	19960803	30
321	19960803	40
321	19960803	50
321	19960803	60
321	19960803	60
321	19960803	60
321	19960803	50
321	19960803	50
321	19960803	40
321	19960803	40
321	19960804	40
321	19960804	40
321	19960804	40
321	19960804	40
321	19960804	30
321	19960804	30
321	19960804	30
321	19960804	30
321	19960804	30
321	19960804	30
321	19960804	40
321	19960804	50
321	19960804	50
321	19960804	60
321	19960804	70
321	19960804	70
321	19960804	80
321	19960804	70
321	19960804	80
321	19960804	80
321	19960804	80
321	19960804	80
321	19960804	70
321	19960804	70
321	19960805	80
321	19960805	90
321	19960805	90
321	19960805	80
321	19960805	80
321	19960805	70
321	19960805	70
321	19960805	70
321	19960805	70
321	19960805	70
321	19960805	60
321	19960805	70
321	19960805	60
321	19960805	70
321	19960805	70
321	19960805	70
321	19960805	60
321	19960805	70
321	19960805	80
321	19960805	80
321	19960805	80
321	19960805	80
321	19960805	80
321	19960805	80
321	19960806	90
321	19960806	90
321	19960806	90
321	19960806	90
321	19960806	90
321	19960806	90
321	19960806	90
321	19960806	90
321	19960806	90
321	19960806	70
321	19960806	100
321	19960806	80
321	19960806	60
321	19960806	50
321	19960806	40
321	19960806	80
321	19960806	80
321	19960806	110
321	19960806	120
321	19960806	130
321	19960806	140
321	19960806	130
321	19960806	110
321	19960806	120
321	19960807	100
321	19960807	100
321	19960807	100
321	19960807	80
321	19960807	70
321	19960807	80
321	19960807	80
321	19960807	80
321	19960807	80
321	19960807	70
321	19960807	80
321	19960807	90
321	19960807	90
321	19960807	80
321	19960807	80
321	19960807	60
321	19960807	70
321	19960807	70
321	19960807	90
321	19960807	70
321	19960807	70
321	19960807	70
321	19960807	50
321	19960807	60
321	19960808	60
321	19960808	60
321	19960808	60
321	19960808	60
321	19960808	60
321	19960808	60
321	19960808	60
321	19960808	60
321	19960808	60
321	19960808	60
321	19960808	70
321	19960808	60
321	19960808	40
321	19960808	40
321	19960808	20
321	19960808	10
321	19960808	20
321	19960808	30
321	19960808	30
321	19960808	30
321	19960808	10
321	19960808	20
321	19960808	40
321	19960808	60
321	19960809	70
321	19960809	70
321	19960809	70
321	19960809	60
321	19960809	60
321	19960809	60
321	19960809	60
321	19960809	60
321	19960809	50
321	19960809	50
321	19960809	50
321	19960809	50
321	19960809	30
321	19960809	50
321	19960809	20
321	19960809	30
321	19960809	10
321	19960809	20
321	19960809	10
321	19960809	10
321	19960809	10
321	19960809	20
321	19960809	30
321	19960809	30
321	19960810	40
321	19960810	50
321	19960810	60
321	19960810	60
321	19960810	70
321	19960810	70
321	19960810	60
321	19960810	60
321	19960810	60
321	19960810	60
321	19960810	70
321	19960810	70
321	19960810	50
321	19960810	50
321	19960810	60
321	19960810	50
321	19960810	30
321	19960810	40
321	19960810	50
321	19960810	60
321	19960810	30
321	19960810	50
321	19960810	60
321	19960810	40
321	19960811	40
321	19960811	30
321	19960811	20
321	19960811	30
321	19960811	30
321	19960811	40
321	19960811	40
321	19960811	40
321	19960811	30
321	19960811	30
321	19960811	30
321	19960811	40
321	19960811	20
321	19960811	10
321	19960811	20
321	19960811	40
321	19960811	50
321	19960811	50
321	19960811	50
321	19960811	40
321	19960811	30
321	19960811	20
321	19960811	10
321	19960811	10
321	19960812	10
321	19960812	20
321	19960812	20
321	19960812	30
321	19960812	20
321	19960812	30
321	19960812	40
321	19960812	40
321	19960812	30
321	19960812	40
321	19960812	30
321	19960812	50
321	19960812	60
321	19960812	50
321	19960812	50
321	19960812	60
321	19960812	70
321	19960812	70
321	19960812	80
321	19960812	90
321	19960812	100
321	19960812	110
321	19960812	100
321	19960812	110
321	19960813	110
321	19960813	100
321	19960813	110
321	19960813	130
321	19960813	140
321	19960813	140
321	19960813	130
321	19960813	130
321	19960813	130
321	19960813	130
321	19960813	120
321	19960813	110
321	19960813	100
321	19960813	100
321	19960813	90
321	19960813	90
321	19960813	90
321	19960813	100
321	19960813	90
321	19960813	90
321	19960813	90
321	19960813	90
321	19960813	90
321	19960813	90
321	19960814	100
321	19960814	80
321	19960814	80
321	19960814	90
321	19960814	100
321	19960814	90
321	19960814	90
321	19960814	90
321	19960814	80
321	19960814	70
321	19960814	70
321	19960814	70
321	19960814	70
321	19960814	70
321	19960814	70
321	19960814	70
321	19960814	60
321	19960814	60
321	19960814	70
321	19960814	70
321	19960814	60
321	19960814	60
321	19960814	60
321	19960814	50
321	19960815	60
321	19960815	60
321	19960815	60
321	19960815	60
321	19960815	70
321	19960815	70
321	19960815	60
321	19960815	60
321	19960815	50
321	19960815	40
321	19960815	40
321	19960815	50
321	19960815	50
321	19960815	50
321	19960815	40
321	19960815	30
321	19960815	40
321	19960815	30
321	19960815	30
321	19960815	30
321	19960815	30
321	19960815	20
321	19960815	20
321	19960815	10
321	19960816	10
321	19960816	10
321	19960816	10
321	19960816	20
321	19960816	10
321	19960816	10
321	19960816	20
321	19960816	10
321	19960816	0
321	19960816	10
321	19960816	10
321	19960816	20
321	19960816	20
321	19960816	10
321	19960816	10
321	19960816	10
321	19960816	10
321	19960816	10
321	19960816	10
321	19960816	20
321	19960816	20
321	19960816	30
321	19960816	30
321	19960816	30
321	19960817	30
321	19960817	30
321	19960817	20
321	19960817	20
321	19960817	30
321	19960817	30
321	19960817	30
321	19960817	30
321	19960817	30
321	19960817	30
321	19960817	30
321	19960817	20
321	19960817	20
321	19960817	10
321	19960817	20
321	19960817	20
321	19960817	30
321	19960817	40
321	19960817	50
321	19960817	50
321	19960817	50
321	19960817	60
321	19960817	50
321	19960817	60
321	19960818	60
321	19960818	50
321	19960818	50
321	19960818	40
321	19960818	50
321	19960818	40
321	19960818	40
321	19960818	50
321	19960818	50
321	19960818	40
321	19960818	40
321	19960818	40
321	19960818	40
321	19960818	40
321	19960818	40
321	19960818	40
321	19960818	40
321	19960818	50
321	19960818	50
321	19960818	60
321	19960818	60
321	19960818	60
321	19960818	60
321	19960818	70
321	19960819	70
321	19960819	70
321	19960819	70
321	19960819	60
321	19960819	60
321	19960819	60
321	19960819	60
321	19960819	60
321	19960819	50
321	19960819	60
321	19960819	70
321	19960819	60
321	19960819	80
321	19960819	80
321	19960819	70
321	19960819	60
321	19960819	60
321	19960819	60
321	19960819	70
321	19960819	80
321	19960819	80
321	19960819	90
321	19960819	80
321	19960819	80
321	19960820	80
321	19960820	70
321	19960820	60
321	19960820	60
321	19960820	60
321	19960820	60
321	19960820	60
321	19960820	50
321	19960820	50
321	19960820	50
321	19960820	60
321	19960820	50
321	19960820	50
321	19960820	20
321	19960820	20
321	19960820	10
321	19960820	20
321	19960820	30
321	19960820	50
321	19960820	40
321	19960820	20
321	19960820	40
321	19960820	40
321	19960820	40
321	19960821	40
321	19960821	50
321	19960821	50
321	19960821	50
321	19960821	40
321	19960821	40
321	19960821	40
321	19960821	40
321	19960821	50
321	19960821	50
321	19960821	40
321	19960821	50
321	19960821	50
321	19960821	40
321	19960821	50
321	19960821	70
321	19960821	70
321	19960821	60
321	19960821	60
321	19960821	60
321	19960821	60
321	19960821	60
321	19960821	60
321	19960821	50
321	19960822	60
321	19960822	60
321	19960822	60
321	19960822	60
321	19960822	60
321	19960822	60
321	19960822	60
321	19960822	40
321	19960822	50
321	19960822	50
321	19960822	60
321	19960822	50
321	19960822	60
321	19960822	50
321	19960822	40
321	19960822	30
321	19960822	50
321	19960822	50
321	19960822	40
321	19960822	40
321	19960822	50
321	19960822	70
321	19960822	70
321	19960822	80
321	19960823	80
321	19960823	80
321	19960823	80
321	19960823	80
321	19960823	90
321	19960823	90
321	19960823	100
321	19960823	110
321	19960823	100
321	19960823	100
321	19960823	110
321	19960823	110
321	19960823	120
321	19960823	120
321	19960823	100
321	19960823	90
321	19960823	80
321	19960823	90
321	19960823	90
321	19960823	100
321	19960823	80
321	19960823	90
321	19960823	80
321	19960823	90
321	19960824	100
321	19960824	90
321	19960824	100
321	19960824	110
321	19960824	90
321	19960824	100
321	19960824	110
321	19960824	110
321	19960824	110
321	19960824	110
321	19960824	80
321	19960824	70
321	19960824	80
321	19960824	90
321	19960824	100
321	19960824	100
321	19960824	110
321	19960824	110
321	19960824	110
321	19960824	130
321	19960824	140
321	19960824	100
321	19960824	110
321	19960824	120
321	19960825	100
321	19960825	110
321	19960825	100
321	19960825	100
321	19960825	120
321	19960825	110
321	19960825	110
